######################## ######################## ######################## ######################## ######################## ######################## ########################
# Radius (arcsec)	 Intensity B7 (Jy/sr)     Intensity B6 (Jy/sr)     Intensity B3 (Jy/sr)     Error Int B7 (Jy/sr)     Error Int B6 (Jy/sr)     Error Int B3 (Jy/sr)
######################## ######################## ######################## ######################## ######################## ######################## ########################
3.363066128760017464e-03 2.423158029005466938e+09 5.888245212767516375e+08 1.139920099083333969e+09 1.016352238488540649e+08 9.153749309023809433e+07 1.366734781546765864e+08
7.719640063456953936e-03 2.424892837415520191e+09 5.829317543298389912e+08 1.085040983356891632e+09 1.006027479857511520e+08 8.948337403016161919e+07 1.250625012894731760e+08
1.210194192185057131e-02 2.425180240798395157e+09 5.708745073400162458e+08 9.941954368824776411e+08 9.847475077718353271e+07 8.547287029526185989e+07 1.065935276701511741e+08
1.649005681557752165e-02 2.419174256068400383e+09 5.513508774666225910e+08 8.788447195678710938e+08 9.499209596743774414e+07 7.938579347233116627e+07 8.463883992513532937e+07
2.088037673087254908e-02 2.405364685264091015e+09 5.266118320068295598e+08 7.518399315791924000e+08 9.074131780232715607e+07 7.217107915700763464e+07 6.273294099029997736e+07
2.527176366146438244e-02 2.384522220589105606e+09 4.984131276495031714e+08 6.249090323942812681e+08 8.601143452293491364e+07 6.448320989646500349e+07 4.381949799262578040e+07
2.966374690140279394e-02 2.352649091245486259e+09 4.658838866493119001e+08 5.069724240558371544e+08 7.995955532046222687e+07 5.618978786868929863e+07 2.989192909792707860e+07
3.405609687345829972e-02 2.313125178392659664e+09 4.299456271221244931e+08 4.035113488163074255e+08 7.335877512632036209e+07 4.772783955998075008e+07 2.177591160866559669e+07
3.844868836113396471e-02 2.270586383560311794e+09 3.950666432661264539e+08 3.168249536654608250e+08 6.692886750651264191e+07 4.021302003621983528e+07 1.847577411528929323e+07
4.284144729424473053e-02 2.224126195446526527e+09 3.615009090857172012e+08 2.468032323291466534e+08 6.052570963741445541e+07 3.372516182900971174e+07 1.745881573052767292e+07
4.723432706703094286e-02 2.173539396129292965e+09 3.275079030820614696e+08 1.918396363211950958e+08 5.424261666703367233e+07 2.795035096736621857e+07 1.679882208975221589e+07
5.162729689394635751e-02 2.123608393710590363e+09 2.955015785565914512e+08 1.496266869767016768e+08 4.873640468546056747e+07 2.335525208838337660e+07 1.585622605014177039e+07
5.602033562449013765e-02 2.076186706555452108e+09 2.677822882031627297e+08 1.177224346196726710e+08 4.418446455585885048e+07 2.008692061072999239e+07 1.462879807644703612e+07
6.041342824852487942e-02 2.025845670900244951e+09 2.425744886980501115e+08 9.388371148041436076e+07 4.009670762935066223e+07 1.774479878995019197e+07 1.327667095052028261e+07
6.480656381935349930e-02 1.975905379550399065e+09 2.187460380102802515e+08 7.621716960225942731e+07 3.680765877238678932e+07 1.607726460532283783e+07 1.194782754525769502e+07
6.919973416618034612e-02 1.930299856189364910e+09 1.988025975302919149e+08 6.321221717200399935e+07 3.447563163212084770e+07 1.508033899810102582e+07 1.073774315624614060e+07
